"","...1","OBSRVTN_NB","DATETIME_DTM","PNT_NM","QUALIFIER_TXT","PNT_ATRISKNOTES_TX","PNT_ATRISKFOLWUPNTS_TX"
"1",371,315846,"1/27/2023 14:17","Personal Protective Grounds","Grounds flagged as required","Noticed a set of grounds that was missing some ground flags. The grounds were near the railroad tracks in the commercial area. Informed [NAME] via text message",NA
"2",78,129787,"8/9/2021 17:14","Opportunities To be More Effective","Improve Capabilities / Skills","AT THIS TIME THE CREW IS EXTREMELY SHORT HANDED AND THE CREW MEMBERS ARE YOUNG AND INEXPERIENCED. THIS IS WHY TAYLOR AND I SPENT SO MUCH TIME STUDYING THE PHASING ON THE LATERALS.",NA
"3",437,465360,"5/16/2024 13:40","Personal Safety","Proper lifting, lowering and carrying","Discussion about not letting the cross arm and or pole fall without direct control was discussed with LCS prior to the job starting. The LCS agreed, talked with his team and then after the cross arm was removed the bucket worker dropped the cross arm from approximately 35 feet in the air. The team then cut the pole top off, utilizing the digger to remove the pole top, the team rigged the pole by closing the claws around the top and lower the winch to where the pole was cut. This placed the weight of the pole top on the claws instead of in the sling. I discussed the hazard with the LCS but he couldn't understand the hazard. The crew lowered the pole to the ground, placed butt on ground and then opened claws, letting the pole free fall to the ground.",NA
"4",306,382381,"8/14/2023 8:41","Welding Operations","Regulators and hoses inspected and in good condition","Screw clamp used on hose connection. Explained compressed gas cylinders must always be a crimped connection.","Welder to have clamp added to hose connection."
"5",252,108833,"5/3/2021 8:45","Personal Safety","Line of fire, Mind on Task / Engaged","Discussed with the employee operating the digger derrick to avoid the line of fire associated with the bucket aloft and to self - check to verify that he is aware of the entire jobsite",NA
"6",381,437881,"2/20/2024 12:00","Equipment - Setup &Inspection","Equipment set up on level terrain, tires chocked, outriggers fully extended and set on pads - Mechanical","Outrigger pads were not used in an area with soft soil. At one point, the outrigger came up off the ground when picking up a wood pole. Spoke with crew and asked them to use outrigger pads moving forward for better stability.",NA
"7",230,458912,"5/1/2024 10:45","Switching","~Other - Switching","Switching was stopped and returned to normal when ATS for station service did not throw over automatically. Worked with dispatch to add steps to de - energize ATS and allow crew to switch manually",NA
"8",252,108833,"5/3/2021 8:45","Personal Safety","Line of fire, Mind on Task / Engaged","Discussed with the employee operating the digger derrick to avoid the line of fire associated with the bucket aloft and to self - check to verify that he is aware of the entire jobsite",NA
"9",481,488678,"8/22/2024 5:40","Concrete/Portland Cement","Other - Concrete/Portland Cement","Concrete vendor was pouring concrete and while adjusting his chute, a hydraulic hose busted and sprayed fluid on ground.",NA
"10",354,167965,"8/6/2021 10:30","Crew has determined that they have the correct PPE to perform job duties safely - (Ask)","[Notes Required for At-Risk Conditions]","Although the correct PPE was listed on the job briefing, two employees were not wearing the correct PPE - safety glasses or hearing protection until they saw me approaching their work site.",NA
"11",435,48044,"8/11/2020 8:00","Aerial Devices - Personal Protective Equipment","Was the proper PPE worn?","Employee observed not wearing the appropriate safety glasses while on site. [NAME] issued employee a pair of ANSI approved safety glasses.",NA
"12",389,414975,"11/20/2023 11:05","Climbing - Procedures","Was a drop zone established, and clearly marked?","* Drop zone had not been established for overhead trimming tasks being performed. Addressed to the foreman and crew to ensure area is properly demarcated at all times while overhead trimming operations are being completed.",NA
"13",239,35409,"5/26/2020 7:30","Stop When Uncertain","Assistance requested, Questioning attitude","crew had a new piece of equipment that they had never used, asked for assistance on how to wire it, stopped the job to ask questions",NA
"14",3,168286,"9/9/2021 10:00","PPE - Generation","Use of additional PPE","Location of created a possible line of fire as the grating was moved with the crane. Tie off was at a distance which made the retractable fully extended.",NA
"15",302,159363,"5/9/2019 13:00","Proper grounding utilized","Grounds installed in proper order","SPX crew had daisy chained grounding between transformer, processing rig and frac tank. Informed them that it had to be independantly grounded between equipment.",NA
"16",52,64888,"11/13/2020 11:00","First Aid Kit (Forestry)","Expiration date, Other - First aid kit","Burn gel was expired by almost 2 years and all items were wet. GF replaced on site. [NAME] was missing safety bag with second kit but it was found on other truck on site same day",NA
"17",223,145226,"1/2/2020 8:00","Cover up activities","Cover up used when required","[NAME] replacing breaker, working within MAD did not apply required cover - up. The requirement was discussed and crew agreed that cover - up needed to be in place. AEP - S & H Manaul - 1. 11. 2",NA
"18",249,449347,"3/28/2024 13:05","Housekeeping - Generation","Cleanliness, Job site hazards, Tripping Hazards","Employee ensured area was clear of tripping hazards and the area was clean when the task was completed",NA
"19",344,214431,"2/23/2022 13:55","Ergonomics - Generation","Can the task ergonomics be improved, Proper stance","Employees where asked what the MELA was for the task of removing insulation from the 4000V connection ring. They said they needed to raise the part off the floor so it would be right at hand height that way they could have a proper stance plus it would let them move around the part more freely.",NA
