"OBSRVTN_NB","DATETIME_DTM","PNT_NM","QUALIFIER_TXT","PNT_ATRISKNOTES_TX","PNT_ATRISKFOLWUPNTS_TX"
419584,"12/5/2023 10:30","Tree Felling - Asplundh Audit","Other - Tree Felling - Asplundh Audit, Was proper PPE utilized for task?","This crew felled a 100' tall oak tree with the canopy in place. The operator of the saw was not wearing hearing protection.",NA
180898,"10/19/2021 2:53","Housekeeping - Generation","Other - Housekeeping, Walking / Working Surfaces","coached employee about walking on wet surface and closing wash down hose off completely to prevent leaking on floor.",NA
461466,"5/8/2024 12:56","PPE - Generation","Use of additional PPE, Wearing eye protection","One Pipefitter using a grinder with proper PPE donned and the helper was right on the work without proper PPE.",NA
355267,"5/22/2023 11:30","Housekeeping in order","Walking / Working Surfaces","Above grade contractor performing work to install new grounds to station ground grid and install of new conduit. Nothing can be done about this situation during construction.",NA
181921,"10/21/2021 11:00","Fire extinguisher inspection up to date and was set off when required","Other - Fire extinguisher","One truck didn't have tag on fire extinguisher. The DSS already knew about it and is in the process of being taken care of.",NA
434641,"2/7/2024 14:46","PPE - Workforce","AEP Required (Standard), Employees wearing gloves appropriate for the hazard (e.g., cut resistant, dielectric, etc.)","Employees ( x2 ) were moving hoses around without PPE ( gloves ) on. Recommended to employees to don PPE and to conduct self checks and buddy checks before conducting any task. Employees donned gloves and continued work.",NA
490204,"8/29/2024 12:00","Walking and Working areas","Other - Walking and Working areas","Mat roads are in very poor condition. [NAME] was contacted and is working on the issues. [NAME] crew were sent over to work on this ongoing matter.",NA
347666,"5/3/2023 10:00","Opportunities To be More Effective","Hazard Mitigation","[NAME] barricades appropriate distances away from work zone to more effectively safeguard public and crew.",NA
292475,"10/31/2022 11:30","Live Line Tools and Insulated PPE","All insulated tools/equipment properly stored","The hot stick used to install grounds on the line was left hanging on the static wire. Leaving the hot stick up on the line could compromise the integrity of the hot stick, and could potentially become a drop hazard.",NA
214792,"2/23/2022 13:40","Complete job briefing given","Other - Job Briefing","[NAME] failed to perform a job briefing. The traffic control lead stated that he forgot his paperwork and did not have any Job Briefing forms with him.",NA
483372,"7/31/2024 13:40","PPE (Forestry)","Safety glasses adequate","The trimmer was wearing regular eyeglasses while he was filling out the job briefing and while he was putting his chaps on. Before he started back cutting brush i asked him if he had safety glasses and he said he did and he was getting ready to get them out of the truck. [NAME] did get them and put them on, but i doubt if he would have had i not mentioned it as i had observed him in the past with just regular glasses on.",NA
484195,"8/6/2024 12:00","Housekeeping.","Lumber free of exposed nails and/or screws","Noticed wood planks laying around the building with nails sticking up. Repositioned the plank so the nails were not sticking upwards and made crew aware of the hazard.",NA
317973,"1/12/2023 14:05","Housekeeping in order","Trash, tools, equipment secured on vehicle","Trash and tools and assorted hardware and boxes layer out on ground on passenger side of line truck - coached on need to clean up as best as possible",NA
486287,"8/15/2024 13:25","Housekeeping.","Lumber free of exposed nails and/or screws","Some screws were sticking out of batter boards. Spoke with safety on making sure board are discarded or screws removed, when taking of batter boards.",NA
30561,"4/20/2020 10:30","Barricades around truck when required","Respect barricade","It is going to be difficult to break a very old habit of reaching across the barricade. This crew agreed they need to improve and they are willing to get better.",NA
489078,"8/26/2024 19:13","Extension Cords","Other - Extension Cords","There are two 14 gauge extension cords being used at the conex office that I recommended be upgraded to a 12 gauge cord.","The cords are being used for power connected to a light package. I explained that the cords are warm to the touch while the 3rd extension cord which is 12 gauge plugged into a separate generator is not. I believe because of how the cords are being used, replacing the 14 gauge cords is a safer option."
463768,"5/21/2024 9:52","Cover up activities","Cover other energized potentials, Installed appropriate type of IPE","[NAME] didn't cover tail of energized single phase on pole top that was on opposite side of cross arm from 3 phase, putting themselves inside of MAD.",NA
419690,"12/7/2023 9:13","Equipment Operations","Safety devices in use (seat belts, back-up alarm, cameras, horn, mirrors, lights, etc.)","A crew member was driving the [NAME] haul not wearing a seat belt. A conversation was held and he wore it moving forward.",NA
420107,"12/9/2023 15:20","Loading/Unloading Procedures","Tires chocked","Parked utility trailer was not chocked. Informed employee and he proceeded to chock tires. Continued work.",NA
232565,"4/6/2022 12:14","Effective Communication","Clear and effective","It took several attempts for the QO to get the attention of those working aloft. The area was busy with construction next to the site, traffic, and two buckets running.",NA
298967,"11/10/2022 9:50","PPE","Safety glasses adequate","Employee did not have glasses on while working in control cabinet. Brought to employee's attention and he put them on.",NA
29592,"2/4/2020 14:00","Vehicle Set-up Correct","Location and set up","The truck was set up directly under the 6 energized copper conductor being worked. The crew re - positioned the trucks in a safer location away from the line of fire.",NA
489152,"8/26/2024 10:15","Did you recognize additional slip, trip, or fall hazards that had not already been recognized and mitigated? If so, please select or describe these hazards in the At-Risk notes.","Housekeeping","observed a couple floor carpet tiles that are coming loose, building services has been advised and they are addressing.",NA
291340,"10/28/2022 12:30","Personal Safety","Line of fire","[NAME] member walked under bucket as bucket operator was booming from pole to ground with section of old pole setting across bucket and held by hand.",NA
455899,"4/23/2024 12:30","PPE (Forestry)","Safety glasses adequate","[NAME] member wearing non - ansi rated prescription glasses. Advised he had forgot to wear his prescription safety glasses. I attempted to provide over glasses but the style I had would not fit over his prescription sunglasses. Contact GF who was en route to provide over glasses. Employee assigned to flagging until his arrival.",NA
108502,"6/1/2021 10:13","Workplace Conditions Addressed","Other - Workplace Conditions","Around the pole hole was very cluttered getting ready for tamping the hole And canting pole. Had discussion on having a clear path.",NA
58426,"9/30/2020 13:00","Vehicle Set-up Correct","Wheel chocks used","One of the three trucks didnt have any Wheel Chocks in place. Coaching was provided and they couldnt find any on the truck. They were going to obtain two, once they returned to the Barn.",NA
141573,"11/6/2019 8:00","Grounding trucks and trailers when required","Other-Grounding trucks, trailers as required","[NAME] was not barricaded and grounded. This was discussed and corrected. AEP - Positioning, Barricading and Grounding Aerial Devices Near Energized Conductors Policy",NA
484647,"8/8/2024 11:57","Walking and Working areas","Open Trenwa appropriately protected (barricaded/walk path provided)","Spoke with tony about correcting the barricading as they have it barricaded but only barricaded at main gate still leaving other holes and trenches open to be walked into.","I completed speaking with tony and [NAME] about this and they stated that they were barricading the gates so that no one could drive into the station. They also stated they will begin barricading several of the areas that are currently open areas not being worked on or are complete and havent been back filled. They are beginning the back fill area and also starting to barricade other areas."
138705,"9/27/2019 8:00","Live line tools, inspection, etc.","Proper storage","Line tools not stored in protective sleeve's. I will follow - up with supervisor to ensure crew has sleeve's to properly store tools. AEP - Live Line Tool Guideline 8. 0",NA
370184,"7/7/2023 11:15","Stored Materials","Other - Stored Materials","The site still needs heated up, but is much better than the last few weeks. It should be less cluttered when there is only 1 contractor on site, instead of three.",NA
35002,"5/21/2020 10:00","Barricades around truck when required","Fire extinguisher not set off, Other - Barricades, Used when required","No barricades or associated equipment was being used when I arrived. Employee started to install the barricade but stopped.",NA
353448,"5/22/2023 17:45","Traffic Control","Traffic warning signage in Compliance","Signs were not set up properly as the crew moved from location to location. Warning signs had been set up but were several miles away from the current work location. The work zone was not protected as the crew was preparing to work with boom trucks set up on the roadway.","Upon talking to [NAME] about the issue, the crew stopped and moved the trucks off the roadway until the traffic control crew had time to retrieve the signs and set up the traffic zone properly. Signs and cones were placed, and work resumed."
335476,"3/28/2023 8:30","Personal Safety","Stored energy","Tree trimmers cutting very large tree, were working hard to make sure to make the right cuts. unsure of what could go wrong due to so many unseen issues.",NA
237022,"5/2/2022 8:30","Workplace Conditions Addressed","Other - Workplace Conditions","The flagpoles proximity to AEP OH lines presents a safety hazard for construction and school district personnel.",NA
167965,"8/6/2021 10:30","Required PPE is documented on the job briefing - (Observe)","[Notes Required for At-Risk Conditions]","Although the correct PPE was listed on the job briefing, two employees were not wearing safety glasses or hearing protection until I drove up. We discussed the value of wearing the PPE when required and they gave us their commitment to wear them when required.",NA
377943,"7/26/2023 11:00","Did you recognize additional slip, trip, or fall hazards that had not already been recognized and mitigated? If so, please select or describe these hazards in the At-Risk notes.","Awareness of environment, Looking where stepping, Surface","Uneven ground, muddy spots, conduit laying on ground in walking area - all discussed in briefing, but reemphasized in discussion with crew",NA
163119,"7/16/2019 9:30","Correct PIPE","Care, Condition, and Storage, Within of date","Two pairs of [NAME] 2 gloves and one pair of [NAME] 3 sleeves were out of date along with issue dates missing on line hoses, Lineman wearing [NAME] 2 gloves that were expired had tears in glove protectors on the inside fingers exposing the rubber glove. Gloves and sleeves were taken out of service",NA
72007,"1/5/2021 10:06","Appropriate work area traffic control (Forestry)","Other - Work Area Protection","Only one flagger had stop / slow paddle the other flagger was trying to use his hands to direct traffic, which is difficult to see from a vehicle operators standpoint. I spoke with Nate Stattler about this and he agreed to get crew another stop / slow paddle to assist with traffic control.",NA
233090,"4/26/2022 12:57","Peer Coaching","Speak up/Listen up","LMA stopped the job when a worker walked into a hazard area, safely redirected the personnel and resumed the job.",NA
148471,"1/24/2019 11:00","Vehicle Set-up Correct","Micro brake/parking brake set","[NAME] didnt set parking brake. Used the opportunity as a coaching moment since this is the drivers 1st assinged comapny vehicle.",NA
295636,"11/12/2022 18:00","Correct work area traffic control","Cones compliant, Vests worn when required","The Servicer was coached for only having two cones on his truck, available to use. We discussed the need to wear Hi - Vis clothing or a Traffic [NAME], as he was working in the roadway without any visibility protection on.",NA
30629,"4/14/2020 11:02","Workplace Conditions Addressed","Limited visibility/ hidden hazards, Steep terrain","[NAME] was sent out to replace a bad URD transformer. Location of site was not ideal, no access with mobile equipment. [NAME] utilized a Digger [NAME] to set transformer, this had to be set up on a neighboring drive which limited operators vision to set the transformer. The location for the job was behind an apartment building with heavy slope from neighbors, also caused debris to settle around back side of transformer.",NA
211501,"2/10/2022 9:30","Personal Safety","Ascending/Descending using 3 point contact","This particular bucket truck had a two step platform mounted on the catwalk to use to get into the bucket. There were no means to maintain three points of contact using these steps until crew member was able to make contact with his hands on the bucket. [NAME] member made comment in jest something to the effect of maybe he should have had fall restraint on to walk the catwalk and up the steps to the bucket. The comment may have had some veracity in it.",NA
345912,"4/28/2023 16:12","PPE - Generation","Proper Footwear, Protect Feet, Protect Head, Protect Hearing, Wear Properly Fitting Clothing","employee was not wearing eye protection. instructed him to get and wear his glasses when in the construction area",NA
362767,"6/12/2023 10:30","All applicable work procedures are followed","Other - Procedures","[NAME] left gate dummy locked so talked with crew about S & H manual policy E6 1. 16 to keep gates locked and closed at all times as it was left wide open upon arrival.",NA
137640,"9/20/2019 13:32","First Aid Kit","Inspection date, Stock date","Both employees were instructed they may want to determine the expiration dates and reseal the units. I had seals if needed. They may also want to check or inspect monthly at the monthly safety meetings.",NA
463741,"5/21/2024 11:37","Personal Protective Grounds","Grounds flagged as required","Ground installed but wrapped in to coils. Grounds should be free to hang and not coiled as coiling could cause a hazard",NA
35921,"5/13/2020 9:02","Defensive driving","Maintain 4 second following distance","reminded employee to keep 4 - 6 following distance. this will help in case the vehicle in front of you suddenly stop and you do not rear end them. no follow up needed",NA
429754,"1/19/2024 13:10","Appropriate work area traffic control (Forestry)","Appropriate number of signs out, Appropriate signs out, Cones compliant","[NAME] were on a two lane rd with work area and one lane signs out. This road should have been flagged. [NAME] were asked to put flagger signs out and flag the road.",NA
442340,"3/5/2024 11:00","Qualified observer","Clear communication, Observer engagement","Observer was working another task expecting the lineman to not swing the boom outside the drop zone.",NA
317538,"2/1/2023 6:57","Equipment Operations","Safety devices in use (seat belts, back-up alarm, cameras, horn, mirrors, lights, etc.)","Subcontractor to [NAME] [NAME], [NAME] Logix. Two crew members were observed traveling the township road not wearing seatbelts.","The crew members were stopped and asked to wear their seatbelts."
